"","Sample","Population","Condition","Sex","Sample_Pop_Cond_Sex","Dataset","Species","Timepoint"
"Sample50_BALB.c_SHAM_M","Sample50","BALB.c","SHAM","M","Sample50_BALB.c_SHAM_M","Bulk DRG","Mouse (DRG)","na"
"Sample51_BALB.c_SHAM_M","Sample51","BALB.c","SHAM","M","Sample51_BALB.c_SHAM_M","Bulk DRG","Mouse (DRG)","na"
"Sample55_BALB.c_SHAM_F","Sample55","BALB.c","SHAM","F","Sample55_BALB.c_SHAM_F","Bulk DRG","Mouse (DRG)","na"
"Sample56_BALB.c_SHAM_F","Sample56","BALB.c","SHAM","F","Sample56_BALB.c_SHAM_F","Bulk DRG","Mouse (DRG)","na"
"Sample57_BALB.c_SHAM_F","Sample57","BALB.c","SHAM","F","Sample57_BALB.c_SHAM_F","Bulk DRG","Mouse (DRG)","na"
"Sample58_B10.D2_SHAM_M","Sample58","B10.D2","SHAM","M","Sample58_B10.D2_SHAM_M","Bulk DRG","Mouse (DRG)","na"
"Sample60_B10.D2_SHAM_M","Sample60","B10.D2","SHAM","M","Sample60_B10.D2_SHAM_M","Bulk DRG","Mouse (DRG)","na"
"Sample67_B10.D2_SHAM_F","Sample67","B10.D2","SHAM","F","Sample67_B10.D2_SHAM_F","Bulk DRG","Mouse (DRG)","na"
"Sample71_BALB.c_SHAM_M","Sample71","BALB.c","SHAM","M","Sample71_BALB.c_SHAM_M","Bulk DRG","Mouse (DRG)","na"
"Sample77_B10.D2_SHAM_F","Sample77","B10.D2","SHAM","F","Sample77_B10.D2_SHAM_F","Bulk DRG","Mouse (DRG)","na"
"Sample88_B10.D2_SHAM_M","Sample88","B10.D2","SHAM","M","Sample88_B10.D2_SHAM_M","Bulk DRG","Mouse (DRG)","na"
"Sample49_BALB.c_SNI_M","Sample49","BALB.c","SNI","M","Sample49_BALB.c_SNI_M","Bulk DRG","Mouse (DRG)","na"
"Sample64_BALB.c_SNI_F","Sample64","BALB.c","SNI","F","Sample64_BALB.c_SNI_F","Bulk DRG","Mouse (DRG)","na"
"Sample65_BALB.c_SNI_F","Sample65","BALB.c","SNI","F","Sample65_BALB.c_SNI_F","Bulk DRG","Mouse (DRG)","na"
"Sample69_B10.D2_SNI_F","Sample69","B10.D2","SNI","F","Sample69_B10.D2_SNI_F","Bulk DRG","Mouse (DRG)","na"
"Sample70_BALB.c_SNI_M","Sample70","BALB.c","SNI","M","Sample70_BALB.c_SNI_M","Bulk DRG","Mouse (DRG)","na"
"Sample76_B10.D2_SNI_F","Sample76","B10.D2","SNI","F","Sample76_B10.D2_SNI_F","Bulk DRG","Mouse (DRG)","na"
"Sample78_B10.D2_SNI_F","Sample78","B10.D2","SNI","F","Sample78_B10.D2_SNI_F","Bulk DRG","Mouse (DRG)","na"
"Sample89_B10.D2_SNI_M","Sample89","B10.D2","SNI","M","Sample89_B10.D2_SNI_M","Bulk DRG","Mouse (DRG)","na"
"Sample90_B10.D2_SNI_M","Sample90","B10.D2","SNI","M","Sample90_B10.D2_SNI_M","Bulk DRG","Mouse (DRG)","na"
